triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.2520000000000001,-0.24096000000000026,-0.1548518400000003
-0.30600000000000016,-0.25208000000000036,-0.16528512000000034
-0.2140000000000001,-0.2287000000000003,-0.1488115200000003
-0.2360000000000001,-0.2348800000000003,-0.1471641600000003
-0.2340000000000001,-0.21592000000000022,-0.1398059520000003
-0.2600000000000001,-0.25556000000000034,-0.15961651200000032
-0.2580000000000001,-0.24976000000000032,-0.17037081600000034
-0.20200000000000007,-0.22890000000000021,-0.1533903360000003
-0.19400000000000006,-0.20632000000000014,-0.13563264000000028
-0.2280000000000001,-0.2491200000000004,-0.1548518400000003
-0.21400000000000008,-0.2273200000000002,-0.16528512000000034
-0.21400000000000008,-0.24154000000000028,-0.1488115200000003
-0.2460000000000001,-0.23648000000000027,-0.1471092480000003
-0.2480000000000001,-0.23456000000000027,-0.15702086400000032
-0.2240000000000001,-0.2161000000000002,-0.14137094400000028
-0.30600000000000016,-0.2775200000000003,-0.17927078400000035
-0.28600000000000014,-0.26846000000000037,-0.16140326400000032
-0.2520000000000001,-0.24690000000000029,-0.17227795200000035
-0.21800000000000008,-0.22356000000000026,-0.1532960000000003
-0.2460000000000001,-0.21532000000000018,-0.1487200000000003
-0.2520000000000001,-0.2270800000000003,-0.14128400000000027
-0.21800000000000008,-0.23072000000000026,-0.1613040000000003
-0.22800000000000012,-0.22728000000000026,-0.17217200000000035
-0.23200000000000012,-0.23594000000000026,-0.15501200000000032
-0.2420000000000001,-0.23180000000000028,-0.15329600000000032
-0.1920000000000001,-0.23272000000000026,-0.1456312000000003
-0.2340000000000001,-0.24688000000000027,-0.16626720000000034
-0.22000000000000008,-0.22684000000000026,-0.17746960000000037
-0.2360000000000001,-0.24330000000000032,-0.15978160000000033
-0.21600000000000008,-0.2138400000000002,-0.14128400000000027
-0.2580000000000001,-0.23444000000000023,-0.1613040000000003
-0.1760000000000001,-0.18352000000000013,-0.17217200000000035
-0.29600000000000015,-0.24410000000000026,-0.15501200000000032
-0.28400000000000014,-0.24848000000000034,-0.1532388000000003
-0.2500000000000001,-0.23984000000000028,-0.16356340000000036
-0.2340000000000001,-0.24270000000000025,-0.14726140000000032
-0.2600000000000001,-0.24644000000000033,-0.1867404000000004
-0.27200000000000013,-0.2792600000000004,-0.16812840000000034
-0.2660000000000001,-0.23978000000000027,-0.17945620000000037
-0.21600000000000008,-0.23556000000000027,-0.1449344000000003
-0.2220000000000001,-0.21852000000000027,-0.13768768000000026
-0.20800000000000007,-0.22852000000000022,-0.15719808000000032
-0.2540000000000001,-0.2495200000000003,-0.16778944000000034
-0.21400000000000008,-0.2260200000000003,-0.1510662400000003
-0.2420000000000001,-0.22476000000000018,-0.13357760000000027
-0.2440000000000001,-0.2391200000000003,-0.1525056000000003
-0.2620000000000001,-0.2534800000000003,-0.16278080000000034
-0.2460000000000001,-0.2496200000000003,-0.1465568000000003
-0.2380000000000001,-0.24096000000000029,-0.14488032000000028
-0.2640000000000001,-0.26312000000000035,-0.1546417600000003
-0.23200000000000012,-0.23610000000000028,-0.13922896000000026
-0.27400000000000013,-0.27076000000000033,-0.17655456000000036
-0.2540000000000001,-0.2587400000000004,-0.1589577600000003
-0.21200000000000008,-0.2682200000000003,-0.16966768000000035
-0.21800000000000008,-0.22596000000000027,-0.13768768000000026
-0.2560000000000001,-0.24460000000000034,-0.15719808000000032
